ID,Name,Occupation,City,State,Mobile,Email
1,Michael Mitchell,Auto Mechanic,Goat,seal,(280) 670-3808,yxing@me.com
2,Troy Snow,Actuary,Duck,gemsbok,(853) 998-5651,glenz@aol.com
3,Sherry Jackson,Telemarketer,Goat,baboon,(236) 408-3690,tellis@att.net
4,Joseph Hernandez,Art Director,Chicken,chinchilla,(500) 427-0850,mhanoh@verizon.net
5,Steve Fox,Teacher Assistant,Duck,cow,(276) 434-7936,paina@live.com
6,Ronald Anderson,Diagnostic Medical Sonographer,Duck,dog,(722) 846-5076,dgatwood@outlook.com
7,Brittney Farmer,Telemarketer,Duck,burro,(280) 835-2536,grinder@verizon.net
8,Ricardo Davis,Interpreter & Translator,Cow,kangaroo,(883) 423-8823,sriha@gmail.com
9,Courtney Delacruz,Massage Therapist,Goat,sloth,(722) 785-5453,budinger@icloud.com
10,Rodney Allen,Referee,Goat,porcupine,(221) 320-2411,natepuri@verizon.net
11,Dakota Wilkerson,Urban Planner,Sheep,bald eagle,(586) 424-9394,calin@verizon.net
12,Cynthia Mitchell,Financial Advisor,Pig,lamb,(684) 927-9516,mhassel@comcast.net
13,Peter Smith,Editor,Duck,capybara,(542) 222-5470,mleary@hotmail.com
14,Natalie Snow,Bus Driver,Pig,gnu,(240) 217-2917,sonnen@yahoo.ca
15,Richard Suarez,Registered Nurse,Pig,zebra,(501) 517-4975,mccurley@msn.com
16,William Livingston,Reporter,Duck,bull,(567) 203-5709,aukjan@hotmail.com
17,Christopher Bailey,Cashier,Goat,leopard,(200) 959-6307,munge@att.net
18,April Barber,Mason,Horse,bear,(733) 334-6191,thurston@hotmail.com
19,Maria Williams,Marketing Manager,Cow,duckbill platypus,(731) 694-7606,crimsane@me.com
20,David Hernandez,Logistician,Pig,opossum,(825) 475-8143,agolomsh@icloud.com
21,John Conrad,Real Estate Agent,Pig,dromedary,(565) 556-5350,petersen@gmail.com
22,Michael Baird,Court Reporter,Pig,boar,(398) 586-3318,birddog@live.com
23,Deborah Thomas,Patrol Officer,Chicken,eagle owl,(962) 924-7143,ilyaz@hotmail.com
24,Michael Terry,School Psychologist,Horse,grizzly bear,(634) 265-7582,jfriedl@sbcglobal.net
25,Julia Tapia,Truck Driver,Horse,basilisk,(928) 565-4739,wagnerch@comcast.net
26,Robert Moore,Compliance Officer,Goat,panda,(245) 410-1765,jesse@mac.com
27,Nicholas Irwin,Accountant,Duck,beaver,(744) 601-4218,cmdrgravy@verizon.net
28,Alan Vasquez,Software Developer,Sheep,blue crab,(395) 236-6157,suresh@comcast.net
29,Sabrina Ortiz,Cashier,Horse,elephant,(992) 538-6880,boomzilla@sbcglobal.net
30,Sonia Johnson,Auto Mechanic,Cow,guanaco,(605) 697-3099,magusnet@verizon.net
31,Kimberly Proctor,Medical Assistant,Goat,ermine,(770) 452-7529,arachne@icloud.com
32,Alexander Zimmerman,Civil Engineer,Sheep,oryx,(644) 544-4893,djpig@hotmail.com
33,Dennis Robbins,Psychologist,Horse,salamander,(594) 682-2596,leviathan@sbcglobal.net
34,James Barker,Mechanical Engineer,Duck,turtle,(549) 529-2898,lipeng@aol.com
